idrec,OBJECTID,BAIRRO,KM2,homicidios,teste,roubo_veiculo,roubo_patrimonio,pop2000,pop2010,dens2010m2,gini,p_pobre,p_desocup,p_alf,p_ens_sup,p_mulherchefe15_25,p_mulher_chefe,pjovem15_18,pjovem15_25,pjovem13_25,pjovem18_25,rdb,km2,centro,preco_imovel
2,358,AFLITOS,.30243069,0,0,86,490,4382,5773,19.088699,.34796599,.016154001,12.6428,78.877296,.68692303,4.3587999,41.232101,8.0100002,21.3578,25.131399,15.5425,12347.52,.30243099,0,1
55,411,AFOGADOS,3.7801194,48,0,293,1681,36146,36265,9.5936098,.51841301,.144401,1.6154,93.336403,.067318,2.8103001,32.846199,7.9538999,20.9722,24.3496,15.2442,18549.84,3.7801199,0,1.0970229
66,422,AGUA FRIA,1.9416723,56,0,103,593,44020,43529,22.418301,.43089899,.133028,10.9633,74.209503,.02789,4.3239999,40.100899,8.0258999,22.0105,25.879101,16.1654,14279.041,1.9416699,0,1.0474933
5,361,ALTO DO MANDU,.26315501,2,0,4,44,5089,4655,17.689199,.46361399,.116262,10.5224,83.159798,.044886,2.5594001,40.250198,7.0936999,19.886,23.4624,14.6984,27879.359,.26315501,0,1.8239418
61,417,ALTO JOSE BONIFACIO,.56309503,12,0,12,91,12377,12462,22.1313,.371638,.14025199,11.6048,73.701202,.01691,4.355,40.351501,8.4996004,23.0993,27.316799,16.9266,10905.12,.56309497,0,1.356625
3,359,ALTO JOSE DO PINHO,.42364311,16,0,8,142,12433,12334,29.1141,.411201,.124593,9.6290998,76.908203,.023747999,4.0086999,44.632401,7.8098998,22.1346,26.067699,16.3356,13214.64,.42364299,0,1.1664909
62,418,ALTO SANTA TEREZINHA,.29480854,6,0,5,50,7826,7703,26.128799,.379282,.124935,10.8797,74.022499,.003644,5.0419998,37.168098,8.5483999,22.846901,27.332001,16.3941,11060.88,.29480901,0,.57464659
29,385,APIPUCOS,1.3126022,5,0,38,109,3467,3342,2.5460899,.78663301,.28258401,27.3356,75.684998,.065743998,5.5556002,45.674702,8.5664997,23.940001,28.6992,17.8829,25954.32,1.3126,0,3.7359419
76,432,AREIAS,2.4132295,42,1,464,859,30365,29894,12.3876,.46276999,.101535,9.0409002,84.409698,.1211,3.0934999,38.030701,8.4834995,21.7981,25.512899,15.5969,23303.641,2.4132299,0,.96986341
63,419,ARRUDA,.95677018,18,0,181,517,13434,14530,15.1865,.51378101,.095836997,7.0970001,81.918999,.16373301,3.4584,37.9715,8.2031002,20.604401,24.393299,14.6122,26817.961,.95677,0,1.02891
